Part Name,Color,Quantity,Part ID,Color Code
"Bracket  1 x  1 -  1 x  1 Down","Dark Orange",1,36841.dat,484
"Technic Brick  1 x  2 with Hole","Tan",1,3700.dat,19
"Technic Brick  1 x  4 with Holes","Reddish Brown",2,3701.dat,70
"Technic Brick  1 x 16 with Holes","Black",2,3703.dat,0
"Technic Axle  6","Red",1,3706.dat,4
"Plate  1 x  4","Black",14,3710.dat,0
"Plate  1 x  4","White",2,3710.dat,15
"Plate  1 x  4","Reddish Brown",82,3710.dat,70
"Plate  1 x  4","Light Bluish Grey",2,3710.dat,71
"Plate  1 x  4","Medium Nougat",6,3710.dat,84
"Plate  1 x  4","Dark Blue",6,3710.dat,272
"Plate  1 x  4","Dark Green",7,3710.dat,288
"Plate  1 x  4","Dark Brown",7,3710.dat,308
"Minifig Candle Flame","Trans Orange",1,37775.dat,57
"Plate  2 x  6","Green",1,3795.dat,2
"Plate  2 x  6","Tan",3,3795.dat,19
"Plate  2 x  6","Dark Tan",9,3795.dat,28
"Plate  2 x  6","Reddish Brown",24,3795.dat,70
"Plate  2 x  6","Dark Blue",18,3795.dat,272
"Plate  2 x  6","Dark Brown",1,3795.dat,308
"Plate  2 x  6","Dark Azure",3,3795.dat,321
"~Minifig Hips and Legs (Obsolete)","Dark Bluish Grey",1,3815c01.dat,72
"~Minifig Hips and Legs (Obsolete)","Dark Brown",1,3815c01.dat,308
"Minifig Arm Right","Tan",1,3818.dat,19
"Minifig Arm Right","Medium Nougat",1,3818.dat,84
"Minifig Arm Right","Dark Red",1,3818.dat,320
"Minifig Arm Right","Dark Azure",1,3818.dat,321
"Minifig Arm Left","Tan",1,3819.dat,19
"Minifig Arm Left","Medium Nougat",1,3819.dat,84
"Minifig Arm Left","Dark Red",1,3819.dat,320
"Minifig Arm Left","Dark Azure",1,3819.dat,321
"Minifig Hand","Yellow",8,3820.dat,14
"Plate  2 x 10","Reddish Brown",3,3832.dat,70
"Minifig Hairbrush with Short Handle","Bright Light Orange",1,3852b.dat,191
"Minifig Hairbrush with Short Handle","Medium Azure",1,3852b.dat,322
"Minifig Cup","Trans Clear",1,3899.dat,47
"Hinge  1 x  2 Base","Reddish Brown",1,3937.dat,70
"Brick  2 x  2 Round without Reinforcement","Reddish Brown",3,3941.dat,70
"Antenna  4H with Flat Top","Reddish Brown",3,3957b.dat,70
"Brick  2 x  4 with  3 Axleholes Vertical","Red",1,39789.dat,4
"Plate  2 x  2 Round with Axlehole","White",1,4032a.dat,15
"Plate  2 x  2 Round with Axlehole","Reddish Brown",7,4032a.dat,70
"Plate  2 x  2 Round with Axlehole","Medium Nougat",1,4032a.dat,84
"Brick  1 x  1 with Headlight","Reddish Brown",28,4070.dat,70
"Plate  8 x  8","Green",1,41539.dat,2
"Bracket  2 x  2 -  1 x  2 Up Centred","Black",4,41682.dat,0
"Minifig Hips and Legs Short without Hole","Dark Tan",1,41879a.dat,28
"Minifig Hips and Legs Short without Hole","Dark Brown",1,41879a.dat,308
"Technic Pin  1/2","Blue",16,4274.dat,1
"Slope Brick 33  3 x  1","Green",4,4286.dat,2
"Slope Brick 33  3 x  1","Reddish Brown",7,4286.dat,70
"Slope Brick 33  3 x  1 Inverted with Notch and Thick Front","Reddish Brown",6,4287a.dat,70
"Wing  2 x  3 Right","Dark Blue",9,43722.dat,272
"Wing  2 x  3 Right","Dark Green",3,43722.dat,288
"Wing  2 x  3 Left","Dark Blue",9,43723.dat,272
"Wing  2 x  3 Left","Dark Green",2,43723.dat,288
"Brick  1 x  1 x  6 Round with Square Base","Reddish Brown",2,43888.dat,70
